鸡蛋,jīdàn,(chicken) egg; hen's egg
手机,shǒujī,cell phone; mobile phone
快乐,kuàilè,happy; joyful
咖啡,kāfēi,coffee (loanword)
雪,xuě,(literary) to wipe away (a humiliation etc); snow
真,zhēn,genuine; indeed; real; really; true; truly
机场,jīchǎng,(slang) service provider for Shadowsocks or similar software for circumventing Internet censorship; airport; airfield
错,cuò,bad; complex; interlocking; mistake; to alternate; to evade; to grind; to inlay with gold or silver; to let slip; to miss; to polish; to stagger; wrong
贵,guì,(honorific) your; expensive; noble; precious
牛奶,niúnǎi,cow's milk
非常,fēicháng,unusual; extraordinary; very; really
左边,zuǒbian,left; the left side; to the left of
可能,kěnéng,maybe; might (happen); perhaps; possibility; possible; probability; probable
事情,shìqing,affair; matter; thing; business
因为,yīnwèi,because; on account of; owing to
白,bái,anti-communist; blank; bright; clear; empty; free of charge; funeral; gratuitous; in vain; plain; pure; reactionary; snowy; spoken lines in opera; to explain; to make clear; to stare coldly; to state; to write wrong character; vernacular; white
服务员,fúwùyuán,attendant; customer service personnel; waiter; waitress
便宜,biànyí,convenient
便宜,piányi,cheap; inexpensive; small advantages; to let sb off lightly
两,liǎng,a few; both; some; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); two
最,zuì,-est (superlative suffix); most; the most
去年,qùnián,last year
忙,máng,busy; hurriedly; to hurry; to rush
您,nín,you (courteous, as opposed to informal 你[ni3])
房间,fángjiān,room
次,cì,classifier for enumerated events: time; hypo- (chemistry); inferior quality; infra-; next in sequence; order; second; secondary; sequence; sub-; substandard; the second (day, time etc); vice-
离,chī,mythical beast (archaic)
离,lí,(in giving distances) from; independent of; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire; to be away from; to leave; to part from; without (sth); ☲
再,zài,again; once more; re-; no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis); second; another; then (after sth, and not until then)
正在,zhèngzài,just at (that time); right in (that place); right in the middle of (doing sth)
远,yuǎn,(intensifier in a comparison) by far; distant; far; much (lower etc); remote
远,yuàn,to distance oneself from (classical)
休息,xiūxi,rest; to rest
件,jiàn,classifier for events, things, clothes etc; component; item
它,tā,it
手表,shǒubiǎo,wristwatch
但是,dànshì,but; however
别,bié,(bound form) other; another; different; (literary) to differentiate; to distinguish; (noun suffix) category (e.g. 性別|性别[xing4 bie2], 派別|派别[pai4 bie2]); don't ...!; to fasten with a pin or clip; to leave; to part (from); to stick in; to insert (in order to hinder movement)
别,biè,to make sb change their ways, opinions etc
比,Bǐ,Belgian; Belgium
比,bǐ,(followed by a noun and adjective) more {adj.} than {noun}; ratio; to compare; to gesture
旁边,pángbiān,side; adjacent place
妻子,qīzǐ,wife and children
妻子,qīzi,wife
孩子,háizi,child
走,zǒu,away (in compound verbs, such as 撤走[che4 zou3]); from; through; to change (shape, form, meaning); to die (euph.); to go; to go away; to leave; to move (of vehicle); to run; to visit; to walk
运动,yùndòng,campaign; exercise; motion; movement; sports; to exercise; to move
旅游,lüyóu,journey; to travel; tour; tourism; travel; trip
高,gāo,above average; high; loud; tall; your (honorific)
出,chū,(used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc; to come out; to go beyond; to go out; to happen; to occur; to produce; to put forth; to rise
找,zhǎo,to call on sb; to find; to give change; to look for; to return; to seek; to try to find
颜色,yánsè,appearance; color; countenance; dyestuff; facial expression; pigment
火车站,huǒchēzhàn,train station
可以,kěyǐ,able to; can; may; not bad; possible; pretty good
觉得,juéde,to feel (uncomfortable etc); to think that ...; to feel that ...
完,wán,complete; entire; to be over; to finish; whole
身体,shēntǐ,in person; one's health; the body
红,hóng,bonus; popular; red; revolutionary
早上,zǎoshang,early morning
鱼,yú,fish
教室,jiàoshì,classroom
也,yě,(adverb) also; both ... and ... (before predicates only); (literary) particle having functions similar to 啊[a5]
进,jìn,(math.) base of a number system; classifier for sections in a building or residential compound; to admit; to advance; to enter; to go forward; to go in; to put in; to submit; to take in
姐姐,jiějie,older sister
游泳,yóuyǒng,swimming; to swim
姓,xìng,family name; surname; to be surnamed
帮助,bāngzhù,assistance; aid; to help; to assist
说话,shuōhuà,talk; to gossip; to say; to speak; to talk; to tell stories; word
公共汽车,gōnggòngqìchē,bus
到,dào,(verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough; to (a place); until (a time); up to (a point); to leave for; to go to; to reach; to arrive
对,duì,(bound form) opposite; facing; matching; classifier: couple; pair; concerning; regarding; right; correct; to add; to pour in (a fluid); to answer; to reply; to check; to compare; to face; to fit; to suit; to match together; to adjust; to treat (sb a certain way); towards; at; for
为什么,wèishénme,for what reason?; why?
跳舞,tiàowǔ,to dance
路,lù,journey; line (bus etc); road; route; sort; kind
希望,xīwàng,a hope; a wish (CL:個|个[ge4]); to hope
近,jìn,approximately; close to; near
弟弟,dìdi,younger brother
准备,zhǔnbèi,preparation; reserve (fund); to be about to; to intend; to prepare
好吃,hàochī,to be fond of eating; to be gluttonous
好吃,hǎochī,delicious; tasty
告诉,gàosu,to tell; to inform; to let know
告诉,gàosù,to press charges; to file a complaint
新,xīn,meso- (chemistry); new; newly
每,měi,each; every
问题,wèntí,issue; problem; question; topic
给,jǐ,to provide; to supply
给,gěi,(grammatical equivalent of 把); (grammatical equivalent of 被); (sentence intensifier); for; for the benefit of; to; to allow; to do sth (for sb); to give
宾馆,bīnguǎn,guesthouse; hotel; lodge
小时,xiǎoshí,hour
唱歌,chànggē,to sing a song
生病,shēngbìng,to fall ill
丈夫,zhàngfu,husband
要,yāo,(bound form) to demand; to coerce
要,yào,(bound form) important; if (same as 要是[yao4 shi5]); need to; should; to want; to need; to ask for; will; shall; about to
一下,yīxià,(used after a verb) give it a go; all at once; all of a sudden; in a while; once; one time; to do (sth for a bit to give it a try)
考试,kǎoshì,exam; to take an exam
跑步,pǎobù,(military) to march at the double; to jog; to run
时间,shíjiān,(concept of) time; (duration of) time; (point in) time
课,kè,class; course; form of divination; lesson; subject; tax; to levy
眼睛,yǎnjing,eye
一起,yīqǐ,altogether (in total); in the same place; together; with
往,wǎng,(of a train) bound for; past; previous; to; to go (in a direction); towards
知道,zhīdào,also pr. [zhi1 dao5]; to know; to become aware of
大家,dàjiā,everyone; great expert; influential family
着,zháo,(after a verb) hitting the mark; (coll.) to fall asleep; succeeding in; to be affected by; to burn; to catch fire; to come in contact with; to feel; to touch
着,zhuó,to apply; to contact; to use; to wear (clothes)
着,zhāo,(chess) move; (dialect) to add; all right!; trick
着,zhe,aspect particle indicating action in progress or ongoing state
晴,qíng,clear; fine (weather)
外,wài,external; foreign; in addition; outside
题,tí,exam question; problem for discussion; subject; to inscribe; to mention; topic
让,ràng,by (indicates the agent in a passive clause, like 被[bei4]); to have sb do sth; to let sb do sth; to make sb (feel sad etc); to permit; to yield
穿,chuān,to bore through; to dress; to pass through; to penetrate; to perforate; to pierce; to put on; to thread; to wear
就,jiù,(after a clause of action) as soon as; immediately after; (after a suppositional clause) in that case; then; (of food) to go with; (often followed by 著|着[zhe5]) taking advantage of; (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...; (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ...; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly; as much as; as many as; only; as little as; to approach; to move towards; to undertake; to engage in; with regard to; concerning
起床,qǐchuáng,to get out of bed; to get up
所以,suǒyǐ,as a result; so; the reason why; therefore
第一,dìyī,first; number one; primary
介绍,jièshào,introduction; to give a presentation; to introduce (sb to sb); to present (sb for a job etc)
已经,yǐjīng,already
上班,shàngbān,to be on duty; to go to the office; to go to work; to start work
面条,miàntiáo,noodles
千,qiān,thousand
公司,gōngsī,company; firm; corporation
快,kuài,almost; clever; forthright; gratified; plainspoken; pleasant; pleased; quick; rapid; rate; sharp (of knives or wits); soon; speed; to make haste
意思,yìsi,desire; fun; idea; interest; meaning; opinion; to do sth as a gesture of goodwill etc; to give as a small token; token of appreciation, affection etc; wish
西瓜,xīguā,watermelon
懂,dǒng,to comprehend; to understand
虽然,suīrán,although; even though (often used correlatively with 可是[ke3 shi4] or 但是[dan4 shi4] etc)
从,cóng,assistant; auxiliary; from; never (in negative sentence); related by common paternal grandfather or earlier ancestor; subordinate; through; to engage in (an activity); to follow; to obey; via
送,sòng,to accompany; to go along with; to give (as a present); to see (sb) off; to send; to deliver; to transmit
日,rì,date, day of the month; day; sun
门,mén,(religious) sect; (suffix) -gate (i.e. scandal; derived from Watergate); category; class; classifier for large guns; classifier for lessons, subjects, branches of technology; door; doorway; family; gate; gateway; house; knack; opening; phylum or division (taxonomy); school (of thought); switch; valve; way to do something
慢,màn,slow
百,bǎi,all kinds of; hundred; numerous
问,wèn,to ask; to inquire
铅笔,qiānbǐ,(lead) pencil
吧,bā,(onom.) bang; bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc)
吧,ba,(modal particle indicating suggestion or surmise); ...I presume.; ...OK?; ...right?
吧,biā,(onom.) smack!
晚上,wǎnshang,evening; in the evening; night
男,nán,Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; male
阴,yīn,Yin (the negative principle of Yin and Yang); cloudy; feminine; genitalia; hidden; implicit; moon; negative (electric.); overcast (weather); shady
笑,xiào,to laugh at; to laugh; to smile
卖,mài,to betray; to sell; to show off or flaunt; to spare no effort
开始,kāishǐ,beginning; initial; to begin; to start
零,líng,(in mathematics) remainder (after division); (placed between two numbers to indicate a smaller quantity followed by a larger one); extra; fraction; fractional; fragmentary; nought; odd (of numbers); to wither; to wither and fall; zero; zero sign
生日,shēngrì,birthday
女,nü,daughter; female; woman
累,lèi,tired; to strain; to wear out; to work hard; weary
累,léi,rope; to bind together; to twist around
累,lěi,continuous; repeated; to accumulate
哥哥,gēge,older brother
药,yào,leaf of the iris
药,yào,drug; medicine; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); to poison
右边,yòubian,right side; right, to the right
妹妹,mèimei,young woman; younger sister
洗,xǐ,to develop (photographs); to erase (a recording); to shuffle (cards etc); to wash; to bathe
羊肉,yángròu,goat meat; mutton
票,piào,amateur performance of Chinese opera; ballot; banknote; classifier for groups, batches, business transactions; person held for ransom; ticket
玩,wán,sth used for amusement; to have fun; to keep sth for entertainment; to play; to trifle with; toy
黑,hēi,(loanword) to hack (computing); black; dark; illegal; secret; shady; sinister; to hide (sth) away; to vilify
报纸,bàozhǐ,newspaper; newsprint